Census Year,Ward,Category,SubCategory,Characteristic,SubCharacteristic,Value
2021,Capital,Demographics,Age,Age groups of the population,15 to 64 years,25990
2021,Capital,Demographics,Age,Age groups of the population,15 to 19 years,1965
2021,Capital,Demographics,Age,Age groups of the population,20 to 24 years,4380
2021,Capital,Demographics,Age,Age groups of the population,25 to 29 years,4005
2021,Capital,Demographics,Age,Age groups of the population,30 to 34 years,2605
2021,Capital,Demographics,Age,Age groups of the population,35 to 39 years,2195
2021,Capital,Demographics,Age,Age groups of the population,40 to 44 years,2000
2021,Capital,Demographics,Age,Age groups of the population,45 to 49 years,2185
2021,Capital,Demographics,Age,Age groups of the population,50 to 54 years,2240
2021,Capital,Demographics,Age,Age groups of the population,55 to 59 years,2305
2021,Capital,Demographics,Age,Age groups of the population,60 to 64 years,2110
2021,Capital,Demographics,Age,Age groups of the population,65 years and over,6700
2021,Capital,Demographics,Age,Age groups of the population,65 to 69 years,1810
2021,Capital,Demographics,Age,Age groups of the population,70 to 74 years,2145
2021,Capital,Demographics,Age,Age groups of the population,75 to 79 years,1320
2021,Capital,Demographics,Age,Age groups of the population,80 to 84 years,785
2021,Capital,Demographics,Age,Age groups of the population,85 years and over,635
2021,Capital,Demographics,Age,Age groups of the population,85 to 89 years,375
2021,Capital,Demographics,Age,Age groups of the population,90 to 94 years,210
2021,Capital,Demographics,Age,Age groups of the population,95 to 99 years,45
2021,Capital,Demographics,Age,Age groups of the population,100 years and over,10
2021,Capital,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,11.7
2021,Capital,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,70.2
2021,Capital,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,18.1
2021,Capital,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,1.7
2021,Capital,Demographics,Age,Average age of the population, ,41
2021,Capital,Demographics,Age,Median age of the population, ,37.6
2021,River,Demographics,Age,Age groups of the population,0 to 14 years,7155
2021,River,Demographics,Age,Age groups of the population,0 to 4 years,2285
2021,River,Demographics,Age,Age groups of the population,5 to 9 years,2430
2021,River,Demographics,Age,Age groups of the population,10 to 14 years,2440
2021,River,Demographics,Age,Age groups of the population,15 to 64 years,30600
2021,River,Demographics,Age,Age groups of the population,15 to 19 years,2485
2021,River,Demographics,Age,Age groups of the population,20 to 24 years,3925
2021,River,Demographics,Age,Age groups of the population,25 to 29 years,3760
2021,River,Demographics,Age,Age groups of the population,30 to 34 years,3060
2021,River,Demographics,Age,Age groups of the population,35 to 39 years,3230
2021,River,Demographics,Age,Age groups of the population,40 to 44 years,2655
2021,River,Demographics,Age,Age groups of the population,45 to 49 years,2820
2021,River,Demographics,Age,Age groups of the population,50 to 54 years,2730
2021,River,Demographics,Age,Age groups of the population,55 to 59 years,3115
2021,River,Demographics,Age,Age groups of the population,60 to 64 years,2825
2021,River,Demographics,Age,Age groups of the population,65 years and over,8140
2021,River,Demographics,Age,Age groups of the population,65 to 69 years,2560
2021,River,Demographics,Age,Age groups of the population,70 to 74 years,2085
2021,River,Demographics,Age,Age groups of the population,75 to 79 years,1570
2021,River,Demographics,Age,Age groups of the population,80 to 84 years,1030
2021,River,Demographics,Age,Age groups of the population,85 years and over,900
2021,River,Demographics,Age,Age groups of the population,85 to 89 years,615
2021,River,Demographics,Age,Age groups of the population,90 to 94 years,240
2021,River,Demographics,Age,Age groups of the population,95 to 99 years,35
2021,River,Demographics,Age,Age groups of the population,100 years and over,15
2021,River,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,15.6
2021,River,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,66.7
2021,River,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,17.7
2021,River,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,2
2021,River,Demographics,Age,Average age of the population, ,40.6
2021,River,Demographics,Age,Median age of the population, ,38.8
2021,Kitchisippi,Demographics,Age,Age groups of the population,0 to 14 years,5295
2021,Kitchisippi,Demographics,Age,Age groups of the population,0 to 4 years,1650
2021,Kitchisippi,Demographics,Age,Age groups of the population,5 to 9 years,1870
2021,Kitchisippi,Demographics,Age,Age groups of the population,10 to 14 years,1775
2021,Kitchisippi,Demographics,Age,Age groups of the population,15 to 64 years,25540
2021,Kitchisippi,Demographics,Age,Age groups of the population,15 to 19 years,1665
2021,Kitchisippi,Demographics,Age,Age groups of the population,20 to 24 years,2025
2021,Kitchisippi,Demographics,Age,Age groups of the population,25 to 29 years,3315
2021,Kitchisippi,Demographics,Age,Age groups of the population,30 to 34 years,3155
2021,Kitchisippi,Demographics,Age,Age groups of the population,35 to 39 years,2955
2021,Kitchisippi,Demographics,Age,Age groups of the population,40 to 44 years,2770
2021,Kitchisippi,Demographics,Age,Age groups of the population,45 to 49 years,2380
2021,Kitchisippi,Demographics,Age,Age groups of the population,50 to 54 years,2405
2021,Kitchisippi,Demographics,Age,Age groups of the population,55 to 59 years,2505
2021,Kitchisippi,Demographics,Age,Age groups of the population,60 to 64 years,2355
2021,Kitchisippi,Demographics,Age,Age groups of the population,65 years and over,6195
2021,Kitchisippi,Demographics,Age,Age groups of the population,65 to 69 years,2100
2021,Kitchisippi,Demographics,Age,Age groups of the population,70 to 74 years,1780
2021,Kitchisippi,Demographics,Age,Age groups of the population,75 to 79 years,1100
2021,Kitchisippi,Demographics,Age,Age groups of the population,80 to 84 years,705
2021,Kitchisippi,Demographics,Age,Age groups of the population,85 years and over,515
2021,Kitchisippi,Demographics,Age,Age groups of the population,85 to 89 years,330
2021,Kitchisippi,Demographics,Age,Age groups of the population,90 to 94 years,160
2021,Kitchisippi,Demographics,Age,Age groups of the population,95 to 99 years,20
2021,Kitchisippi,Demographics,Age,Age groups of the population,100 years and over,0
2021,Kitchisippi,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,14.3
2021,Kitchisippi,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,69
2021,Kitchisippi,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,16.7
2021,Kitchisippi,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,1.4
2021,Kitchisippi,Demographics,Age,Average age of the population, ,41.2
2021,Kitchisippi,Demographics,Age,Median age of the population, ,40
2021,Somerset,Demographics,Age,Age groups of the population,0 to 14 years,2715
2021,Somerset,Demographics,Age,Age groups of the population,0 to 4 years,1120
2021,Somerset,Demographics,Age,Age groups of the population,5 to 9 years,925
2021,Somerset,Demographics,Age,Age groups of the population,10 to 14 years,670
2021,Somerset,Demographics,Age,Age groups of the population,15 to 64 years,31700
2021,Somerset,Demographics,Age,Age groups of the population,15 to 19 years,925
2021,Somerset,Demographics,Age,Age groups of the population,20 to 24 years,4195
2021,Somerset,Demographics,Age,Age groups of the population,25 to 29 years,6755
2021,Somerset,Demographics,Age,Age groups of the population,30 to 34 years,5325
2021,Somerset,Demographics,Age,Age groups of the population,35 to 39 years,3620
2021,Somerset,Demographics,Age,Age groups of the population,40 to 44 years,2475
2021,Somerset,Demographics,Age,Age groups of the population,45 to 49 years,2150
2021,Somerset,Demographics,Age,Age groups of the population,50 to 54 years,2065
2021,Somerset,Demographics,Age,Age groups of the population,55 to 59 years,2255
2021,Somerset,Demographics,Age,Age groups of the population,60 to 64 years,1935
2021,Somerset,Demographics,Age,Age groups of the population,65 years and over,5380
2021,Somerset,Demographics,Age,Age groups of the population,65 to 69 years,1735
2021,Somerset,Demographics,Age,Age groups of the population,70 to 74 years,1450
2021,Somerset,Demographics,Age,Age groups of the population,75 to 79 years,980
2021,Somerset,Demographics,Age,Age groups of the population,80 to 84 years,710
2021,Somerset,Demographics,Age,Age groups of the population,85 years and over,505
2021,Somerset,Demographics,Age,Age groups of the population,85 to 89 years,330
2021,Somerset,Demographics,Age,Age groups of the population,90 to 94 years,155
2021,Somerset,Demographics,Age,Age groups of the population,95 to 99 years,25
2021,Somerset,Demographics,Age,Age groups of the population,100 years and over,0
2021,Somerset,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,6.8
2021,Somerset,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,79.7
2021,Somerset,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,13.5
2021,Somerset,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,1.3
2021,Somerset,Demographics,Age,Average age of the population, ,40
2021,Somerset,Demographics,Age,Median age of the population, ,34.8
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,0 to 14 years,5465
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,0 to 4 years,1730
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,5 to 9 years,1820
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,10 to 14 years,1910
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,15 to 64 years,24060
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,15 to 19 years,2075
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,20 to 24 years,2210
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,25 to 29 years,2530
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,30 to 34 years,2540
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,35 to 39 years,2435
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,40 to 44 years,2210
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,45 to 49 years,2255
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,50 to 54 years,2475
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,55 to 59 years,2660
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,60 to 64 years,2670
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,65 years and over,7870
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,65 to 69 years,2355
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,70 to 74 years,2100
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,75 to 79 years,1495
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,80 to 84 years,1080
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,85 years and over,835
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,85 to 89 years,520
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,90 to 94 years,245
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,95 to 99 years,70
2021,Rideau Rockcliffe,Demographics,Age,Age groups of the population,100 years and over,15
2021,Rideau Rockcliffe,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,14.6
2021,Rideau Rockcliffe,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,64.3
